disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12,symptom_13,symptom_14,symptom_15
Malaria,high_fever,chills,sweating,headache,body_ache,nausea,vomiting,fatigue,loss_of_appetite,joint_pain,shivering,pale_skin,,, 
Dengue Fever,high_fever,severe_headache,pain_behind_eyes,joint_pain,muscle_pain,skin_rash,nausea,vomiting,fatigue,loss_of_appetite,bleeding_gums,easy_bruising,,,
Typhoid,prolonged_fever,abdominal_pain,headache,loss_of_appetite,constipation,weakness,diarrhea,skin_rash,nausea,vomiting,fatigue,chills,,,
Tuberculosis,persistent_cough,coughing_blood,weight_loss,night_sweats,fatigue,chest_pain,breathlessness,low_grade_fever,loss_of_appetite,weakness,,,,,
COVID-19,fever,dry_cough,fatigue,loss_of_smell,loss_of_taste,breathlessness,headache,sore_throat,body_ache,diarrhea,chest_pain,,,, 
Chickenpox,skin_rash,itching,fever,fatigue,headache,loss_of_appetite,fluid_filled_blisters,,,,,,,, 
Pneumonia,high_fever,cough,breathlessness,chest_pain,chills,fatigue,sweating,nausea,vomiting,,,,,, 
Hepatitis A,jaundice,dark_urine,nausea,vomiting,abdominal_pain,fatigue,loss_of_appetite,fever,joint_pain,,,,,, 
Hepatitis B,jaundice,dark_urine,fatigue,abdominal_pain,nausea,vomiting,loss_of_appetite,joint_pain,,,,,,,
Cholera,profuse_watery_diarrhea,vomiting,muscle_cramps,dehydration,weakness,nausea,rapid_heart_rate,,,,,,,, 
Influenza,high_fever,headache,body_ache,fatigue,sore_throat,dry_cough,chills,loss_of_appetite,,,,,,,
Chikungunya,high_fever,severe_joint_pain,muscle_pain,headache,skin_rash,fatigue,joint_swelling,nausea,,,,,,,
Diabetes,increased_thirst,frequent_urination,fatigue,blurred_vision,slow_healing_wounds,frequent_infections,weight_loss,numbness_in_hands_feet,,,,,,,
Hypertension,headache,dizziness,chest_pain,blurred_vision,nausea,shortness_of_breath,fatigue,,,,,,,, 
Hypothyroidism,fatigue,weight_gain,cold_intolerance,dry_skin,hair_loss,constipation,depression,slow_heart_rate,muscle_weakness,,,,,, 
Hyperthyroidism,weight_loss,rapid_heartbeat,sweating,anxiety,tremors,increased_appetite,diarrhea,fatigue,heat_intolerance,,,,,, 
Gastroenteritis,diarrhea,vomiting,nausea,abdominal_cramps,fever,fatigue,loss_of_appetite,dehydration,,,,,,, 
Jaundice,yellowing_of_skin,yellowing_of_eyes,dark_urine,pale_stools,fatigue,abdominal_pain,nausea,loss_of_appetite,,,,,,,
Peptic Ulcer,abdominal_pain,nausea,vomiting,bloating,heartburn,loss_of_appetite,dark_stools,,,,,,,, 
Irritable Bowel Syndrome,abdominal_pain,bloating,diarrhea,constipation,gas,mucus_in_stool,,,,,,,,,
Asthma,wheezing,breathlessness,chest_tightness,cough,shortness_of_breath,,,,,,,,,, 
COPD,chronic_cough,breathlessness,wheezing,chest_tightness,frequent_respiratory_infections,fatigue,,,,,,,,,
Bronchitis,cough,mucus_production,fatigue,breathlessness,chest_discomfort,fever,,,,,,,,,
Migraine,severe_headache,nausea,vomiting,sensitivity_to_light,sensitivity_to_sound,visual_disturbances,,,,,,,,,
Vertigo,dizziness,loss_of_balance,nausea,vomiting,hearing_loss,ringing_in_ears,,,,,,,,,
Epilepsy,seizures,confusion,loss_of_consciousness,muscle_stiffness,uncontrolled_movements,staring_spell,,,,,,,,,
Common Cold,runny_nose,sneezing,sore_throat,cough,mild_fever,congestion,fatigue,,,,,,,, 
Urinary Tract Infection,burning_urination,frequent_urination,cloudy_urine,strong_smelling_urine,pelvic_pain,fever,nausea,,,,,,,,
Anemia,fatigue,weakness,pale_skin,shortness_of_breath,dizziness,headache,cold_hands_feet,,,,,,,, 
Allergy,sneezing,runny_nose,itchy_eyes,skin_rash,hives,swelling,congestion,,,,,,,, 
Dengue Hemorrhagic Fever,high_fever,severe_abdominal_pain,bleeding,vomiting,rapid_heartbeat,low_blood_pressure,skin_rash,,,,,,,, 
Leptospirosis,high_fever,severe_headache,muscle_pain,red_eyes,jaundice,nausea,vomiting,rash,,,,,,, 
Kala-Azar,prolonged_fever,splenomegaly,weight_loss,weakness,anemia,skin_darkening,,,,,,,,,
Japanese Encephalitis,high_fever,headache,neck_stiffness,confusion,seizures,tremors,,,,,,,,,
Myocardial Infarction,chest_pain,breathlessness,sweating,nausea,arm_pain,jaw_pain,fatigue,anxiety,,,,,,, 
Stroke,sudden_numbness,confusion,trouble_speaking,vision_problems,severe_headache,loss_of_balance,,,,,,,,,
Kidney Disease,swelling_in_legs,fatigue,decreased_urination,nausea,loss_of_appetite,shortness_of_breath,,,,,,,,,
Liver Cirrhosis,jaundice,abdominal_swelling,fatigue,loss_of_appetite,nausea,easy_bruising,spider_veins,,,,,,,
Psoriasis,red_skin_patches,scaly_skin,itching,dry_cracked_skin,joint_pain,,,,,,,,,,,
Eczema,itching,red_rash,dry_skin,scaly_skin,skin_inflammation,,,,,,,,,,,
Appendicitis,severe_abdominal_pain,nausea,vomiting,fever,loss_of_appetite,abdominal_rigidity,,,,,,,,,
Meningitis,severe_headache,high_fever,neck_stiffness,sensitivity_to_light,nausea,vomiting,confusion,,,,,,,
